GAC,GN6 1.5 GE,GAC GN6 1.5 GE,"P 1,350,000 (AT)"
GAC,GS8 2.0 GT,GAC GS8 2.0 GT,"P 2,398,000 (AT)"
Geely,Azkarra 1.5 EMS AWD Luxury,Geely Azkarra 1.5 EMS AWD Luxury,"P 1,808,000 (AT)"
Geely,Coolray 1.5 SE Comfort,Geely Coolray 1.5 SE Comfort,"P 1,083,000 (AT)"
Geely,Coolray 1.5 SE Premium,Geely Coolray 1.5 SE Premium,"P 1,218,000 (AT)"
Geely,Coolray 1.5 SE Sport,Geely Coolray 1.5 SE Sport,"P 1,299,000 (AT)"
Geely,Emgrand 1.5 S,Geely Emgrand 1.5 S,"P 753,000 (MT)"
Geely,Emgrand 1.5 Comfort,Geely Emgrand 1.5 Comfort,"P 945,000 (AT)"
Geely,Emgrand 1.5 Premium,Geely Emgrand 1.5 Premium,"P 999,000 (AT)"
Geely,Okavango 1.5 EMS Comfort,Geely Okavango 1.5 EMS Comfort,"P 1,523,000 (AT)"
Geely,Okavango 1.5 EMS Urban,Geely Okavango 1.5 EMS Urban,"P 1,633,000 (AT)"
Geely,Okavango 1.5 EMS Urban Plus,Geely Okavango 1.5 EMS Urban Plus,"P 1,765,000 (AT)"
Great Wall,GWM Cannon C-Series 4x2,Great Wall GWM Cannon C-Series 4x2,"P 998,000 (MT)"
Great Wall,GWM Cannon C-Series 4x4,Great Wall GWM Cannon C-Series 4x4,"P 1,118,000 (MT)"
Great Wall,GWM Cannon P-Series Lux 4x2,Great Wall GWM Cannon P-Series Lux 4x2,"P 1,198,000 (AT)"
Great Wall,GWM Cannon P-Series Lux 4x4,Great Wall GWM Cannon P-Series Lux 4x4,"P 1,318,000 (AT)"
Great Wall,GWM Cannon P-Series SLux 4x2,Great Wall GWM Cannon P-Series SLux 4x2,"P 1,358,000 (AT)"
Great Wall,GWM Cannon P-Series SLux 4x4,Great Wall GWM Cannon P-Series SLux 4x4,"P 1,498,000 (AT)"
Great Wall,Haval Jolion 1.5 Turbo Plus,Great Wall Haval Jolion 1.5 Turbo Plus,"P 998,000 (AT)"
Great Wall,Haval Jolion 1.5 Turbo Max,Great Wall Haval Jolion 1.5 Turbo Max,"P 1,128,000 (AT)"
Great Wall,Haval Jolion 1.5 Turbo Supreme,Great Wall Haval Jolion 1.5 Turbo Supreme,"P 1,248,000 (AT)"
Great Wall,Haval Jolion 1.5 HEV Supreme,Great Wall Haval Jolion 1.5 HEV Supreme,"P 1,588,000 (AT)"
Great Wall,Haval H6 1.5 HEV Max,Great Wall Haval H6 1.5 HEV Max,"P 1,788,000 (AT)"
Great Wall,Haval H6 1.5 HEV Supreme,Great Wall Haval H6 1.5 HEV Supreme,"P 1,883,000 (AT)"
Haima,S7 1.8 Turbo GL,Haima S7 1.8 Turbo GL,"P 1,019,000 (MT)"
Haima,S7 1.8 Turbo STD,Haima S7 1.8 Turbo STD,"P 1,199,000 (AT)"
Haima,X7 1.5 Turbo ,Haima X7 1.5 Turbo ,"P 1,199,000 (AT)"
Haima,V70 1.5 Turbo Deluxe 7-Seater,Haima V70 1.5 Turbo Deluxe 7-Seater,"P 1,079,000 (AT)"
Haima,V70 1.5 Turbo Deluxe 6-Seater,Haima V70 1.5 Turbo Deluxe 6-Seater,"P 1,099,000 (AT)"
Honda,BR-V 1.5 S,Honda BR-V 1.5 S,"P 1,090,000 (MT)"
Honda,BR-V 1.5 S,Honda BR-V 1.5 S,"P 1,150,000 (AT)"
